phenocode,phenostring,assoc_files,num_samples,num_cases,num_controls,stratification,category,interaction
CCC_MACDEG_COM,Macular degeneration,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/interaction/_CCC_MACDEG_COM.txt.gz,24353,1035,23318,sex:both;ancestry:european,Diseases,null
CCC_MACDEG_COM,Macular degeneration,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/interaction/_CCC_MACDEG_COM.txt.gz,24353,1035,23318,sex:both;ancestry:european,Diseases,BSEX
CCC_MACDEG_COM,Macular degeneration,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/female/_CCC_MACDEG_COM.txt.gz,12268,547,11721,sex:female;ancestry:european,Diseases,null
CCC_MACDEG_COM,Macular degeneration,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/male/_CCC_MACDEG_COM.txt.gz,12096,488,11608,sex:male;ancestry:european,Diseases,null
DIA_TYPE1_COM,Type 1 Diabetes,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/interaction/_DIA_TYPE1_COM.txt.gz,20369,135,20234,sex:both;ancestry:european,Diseases,null
DIA_TYPE1_COM,Type 1 Diabetes,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/interaction/_DIA_TYPE1_COM.txt.gz,20369,135,20234,sex:both;ancestry:european,Diseases,BSEX
DIA_TYPE1_COM,Type 1 Diabetes,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/female/_DIA_TYPE1_COM.txt.gz,10498,64,10434,sex:female;ancestry:european,Diseases,null
DIA_TYPE1_COM,Type 1 Diabetes,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/male/_DIA_TYPE1_COM.txt.gz,9881,71,9810,sex:male;ancestry:european,Diseases,null
DIA_TYPE2_COM,Type 2 Diabetes,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/interaction/_DIA_TYPE2_COM.txt.gz,22364,2130,20234,sex:both;ancestry:european,Diseases,null
DIA_TYPE2_COM,Type 2 Diabetes,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/interaction/_DIA_TYPE2_COM.txt.gz,22364,2130,20234,sex:both;ancestry:european,Diseases,BSEX
DIA_TYPE2_COM,Type 2 Diabetes,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/female/_DIA_TYPE2_COM.txt.gz,11314,880,10434,sex:female;ancestry:european,Diseases,null
DIA_TYPE2_COM,Type 2 Diabetes,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/male/_DIA_TYPE2_COM.txt.gz,11060,1250,9810,sex:male;ancestry:european,Diseases,null
WHO_MPAG_AG_COM,Age of Menopause Onset,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/no_interaction/_WHO_MPAG_AG_COM.txt.gz,7959,,,sex:both;ancestry:european,Reproduction,null
WHO_MPAG_AG_COM,Age of Menopause Onset,/home/justb11/projects/def-gsarah/justb11/sex-stratified/PheWeb2.0-API/raw_data/female/_WHO_MPAG_AG_COM.txt.gz,7963,,,sex:female;ancestry:european,Reproduction,null
